"","identifier","datestamp","setSpec","setSpec.1","setSpec.2","setSpec.3","setSpec.4","setSpec.5","title","creator","creator.1","creator.2","creator.3","subject","description","description.1","date","type","type.1","identifier.4","source","identifier.1","identifier.2","identifier.3","language","rights","format","format.1","creator.4","creator.5","creator.6","creator.7","creator.8","creator.9","subject.1","subject.2","subject.3","subject.4","subject.5","subject.6","format.2","setSpec.6","setSpec.7","creator.10","title.1","creator.11","creator.12","creator.13","creator.14","creator.15","creator.16","creator.17","creator.18","creator.19","creator.20","creator.21","creator.22","creator.23","creator.24","creator.25","creator.26","creator.27","creator.28","creator.29","creator.30","creator.31","creator.32","creator.33","creator.34","creator.35","creator.36","creator.37","creator.38","creator.39","creator.40","creator.41","creator.42","creator.43","creator.44","creator.45","creator.46","creator.47","creator.48","creator.49","creator.50","creator.51","creator.52","creator.53","creator.54","creator.55","creator.56","creator.57","creator.58","creator.59","creator.60","creator.61","creator.62","creator.63","creator.64","creator.65","creator.66","creator.67","creator.68","creator.69","creator.70","creator.71","creator.72","creator.73","creator.74","creator.75","creator.76","creator.77","creator.78","creator.79","creator.80","creator.81","subject.7","subject.8","subject.9","subject.10","subject.11","subject.12","subject.13","subject.14","subject.15","subject.16","subject.17","subject.18","subject.19","subject.20","subject.21","subject.22","subject.23","subject.24","subject.25","subject.26"
"29","oai:kops.uni-konstanz.de:123456789/42358","2018-05-18T01:15:50Z","com_123456789_14","col_123456789_45","doc-type:article","ddc:400","doc-type:Text","open_access","Early Language Learning : The Impact of Teaching and Teacher Factors","Graham, Suzanne","Courtney, Louise","Marinis, Theodoros","Tonkyn, Alan","early language learning; teaching time; teaching approach; teacher proficiency; teacher training","Recent behavioural evidence from second language (L2) learners has suggested native-like processing of syntactic structures, such as long-distance wh-dependencies in L2. The underlying processes are still largely debated, while the available neuroimaging evidence has been restricted to native (L1) processing. Here we test highly proficient L2 learners of English in an fMRI experiment incorporating a sentence reading task with long-distance wh-dependencies, including abstract syntactic categories (empty traces of wh-movement). Our results suggest that long-distance wh-dependencies impose increased working memory (WM) demands, compared to control sentences of equal length, demonstrated as increased activation of the superior and middle temporal gyri bilaterally. Additionally, our results suggest abstract syntactic processing by the most immersed L2 learners, manifested as comparable left temporal activity for sentences with wh-traces and sentences with no wh-movement. These findings are discussed against current theoretical proposals about L2 syntactic processing.","published","2017","doc-type:article","doc-type:Text",NA,"Language Learning ; 67 (2017), 4. - S. 922-958. - ISSN 0023-8333. - eISSN 1467-9922","505158922","http://dx.doi.org/10.1111/lang.12251","http://nbn-resolving.de/urn:nbn:de:bsz:352-2-12l85rbzfnul98","eng","https://kops.uni-konstanz.de/page/termsofuse","application/pdf","application/pdf",NA,NA,NA,NA,NA,NA,"ddc:400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","oai:kops.uni-konstanz.de:123456789/39861","2018-05-31T18:00:38Z","com_123456789_1","col_123456789_28","doc-type:article","doc-type:Text","open_access","ddc:570","The Emperor has no clothes : a response to comments on Beekman and Jordan","Beekman, Madeleine","Jordan, L. Alex",NA,NA,"ddc:570","published",NA,"2017-05-09","doc-type:article","doc-type:Text",NA,"Behavioral Ecology ; 28 (2017), 3. - S. 630-631. - ISSN 1045-2249. - eISSN 1465-7279","49359504X","http://dx.doi.org/10.1093/beheco/arx066","http://nbn-resolving.de/urn:nbn:de:bsz:352-0-421699","eng","https://kops.uni-konstanz.de/page/termsofuse","application/pdf","application/pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","oai:kops.uni-konstanz.de:123456789/36418","2018-06-01T18:02:29Z","com_123456789_11","col_123456789_42","doc-type:article","doc-type:Text","open_access","ddc:320","Digital Trace Data in the Study of Public Opinion : An Indicator of Attention Toward Politics Rather Than Political Support","Jungherr, Andreas","Schoen, Harald","Posegga, Oliver","Jürgens, Pascal","ddc:320","In this article, we examine the relationship between metrics documenting politics-related Twitter activity with election results and trends in opinion polls. Various studies have proposed the possibility of inferring public opinion based on digital trace data collected on Twitter and even the possibility to predict election results based on aggregates of mentions of political actors. Yet, a systematic attempt at a validation of Twitter as an indicator for political support is lacking. In this article, building on social science methodology, we test the validity of the relationship between various Twitter-based metrics of public attention toward politics with election results and opinion polls. All indicators tested in this article suggest caution in the attempt to infer public opinion or predict election results based on Twitter messages. In all tested metrics, indicators based on Twitter mentions of political parties differed strongly from parties’ results in elections or opinion polls. This leads us to question the power of Twitter to infer levels of political support of political actors. Instead, Twitter appears to promise insights into temporal dynamics of public attention toward politics.","published","2017","doc-type:article","doc-type:Text",NA,"Social Science Computer Review ; 35 (2017), 3. - S. 336-356. - ISSN 0894-4393. - eISSN 1552-8286","489514561","http://dx.doi.org/10.1177/0894439316631043","http://nbn-resolving.de/urn:nbn:de:bsz:352-0-380412","eng","https://kops.uni-konstanz.de/page/termsofuse","application/pdf","application/pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","oai:kops.uni-konstanz.de:123456789/40980","2018-05-01T18:00:28Z","com_123456789_1","col_123456789_28","doc-type:article","doc-type:Text","open_access","ddc:570","Structural basis of human kinesin-8 function and inhibition","Locke, Julia","Joseph, Agnel Praveen","Peña, Alejandro","Möckel, Martin M.","ddc:570","Kinesin motors play diverse roles in mitosis and are targets for antimitotic drugs. The clinical significance of these motors emphasizes the importance of understanding the molecular basis of their function. Equally important, investigations into the modes of inhibition of these motors provide crucial information about their molecular mechanisms. Kif18A regulates spindle microtubules through its dual functionality, with microtubule-based stepping and regulation of microtubule dynamics. We investigated the mechanism of Kif18A and its inhibition by the small molecule BTB-1. The Kif18A motor domain drives ATP-dependent plus-end microtubule gliding, and undergoes conformational changes consistent with canonical mechanisms of plus-end-directed motility. The Kif18A motor domain also depolymerizes microtubule plus and minus ends. BTB-1 inhibits both of these microtubule-based Kif18A activities. A reconstruction of BTB-1-bound, microtubule-bound Kif18A, in combination with computational modeling, identified an allosteric BTB-1-binding site near loop5, where it blocks the ATP-dependent conformational changes that we characterized. Strikingly, BTB-1 binding is close to that of well-characterized Kif11 inhibitors that block tight microtubule binding, whereas BTB-1 traps Kif18A on the microtubule. Our work highlights a general mechanism of kinesin inhibition in which small-molecule binding near loop5 prevents a range of conformational changes, blocking motor function.","published","2017","doc-type:article","doc-type:Text","http://nbn-resolving.de/urn:nbn:de:bsz:352-2-16ahgs198u4nm1","Proceedings of the National Academy of Sciences of the United States of America ; 114 (2017), 45. - S. E9539-E9548. - ISSN 0027-8424. - eISSN 1091-6490","50025673X","http://dx.doi.org/10.1073/pnas.1712169114","29078367","eng","https://kops.uni-konstanz.de/page/termsofuse","application/pdf","application/pdf","Mayer, Thomas U.","Topf, Maya","Moores, Carolyn A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","oai:kops.uni-konstanz.de:123456789/42245","2018-05-04T01:14:25Z","com_123456789_1","col_123456789_28","doc-type:article","doc-type:Text","open_access","ddc:570","Effect of Calstabin1 Depletion on Calcium Transients and Energy Utilization in Muscle Fibers and Treatment Opportunities with RyR1 Stabilizers","Breckner, Anke","Ganz, Magdalena","Marcellin, David","Richter, Jens","ddc:570","Depletion of calstabin1 (FKBP12) from the RyR1 channel and consequential calcium leakage from the sarcoplasmic reticulum (SR) is found in certain disease conditions such as dystrophy, aging or muscle overuse. Here, we first assessed the effect of calstabin1 depletion on resting Ca<sup>2+</sup> levels and transients. We found that depletion of calstabin1 with the calstabin1-dissociation compound FK506 increased the release of calcium from the SR by 14 % during tetanic stimulation (50 Hz, 300 ms) and delayed cytosolic calcium removal. However, we did not find a significant increase in resting cytosolic Ca<sup>2+</sup> levels. Therefore, we tested if increased SERCA activity could counterbalance calcium leakage. By measuring the energy utilization of muscle fibers with and without FK506 treatment, we observed that FK506-treatment increased oxygen consumption by 125% compared to baseline levels. Finally, we found that pretreatment of muscle fibers with the RyR1 stabilizer JTV-519 led to an almost complete normalization of calcium flux dynamics and energy utilization. We conclude that cytosolic calcium levels are mostly preserved in conditions with leaky RyR1 channels due to increased SERCA activity. Therefore, we suggest that RyR1 leakiness might lead to chronic metabolic stress, followed by cellular damage, and RyR1 stabilizers could potentially protect diseased muscle tissue.","published","2013-11-26","doc-type:article","doc-type:Text",NA,"PLoS one ; 8 (2013), 11. - e81277. - eISSN 1932-6203","502593865","http://dx.doi.org/10.1371/journal.pone.0081277","http://nbn-resolving.de/urn:nbn:de:bsz:352-2-189och74002q66","eng","https://kops.uni-konstanz.de/page/termsofuse","application/pdf","application/pdf","Gerwin, Nicole","Rausch, Martin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","oai:kops.uni-konstanz.de:123456789/36596","2018-05-09T15:27:54Z","com_123456789_1","col_123456789_28","doc-type:article","doc-type:Text","open_access","ddc:570","Toward Good Read-Across Practice (GRAP) guidance","Ball, Nicholas","Cronin, Mark T. D.","Shen, Jie","Blackburn, Karen","ddc:570","Grouping of substances and utilizing read-across of data within those groups represents an important data gap filling technique for chemical safety assessments. Categories/analogue groups are typically developed based on structural similarity and, increasingly often, also on mechanistic (biological) similarity. While read-across can play a key role in complying with legislations such as the European REACH regulation, the lack of consensus regarding the extent and type of evidence necessary to support it often hampers its successful application and acceptance by regulatory authorities. Despite a potentially broad user community, expertise is still concentrated across a handful of organizations and individuals. In order to facilitate the effective use of read-across, this document aims to summarize the state-of-the-art, summarizes insights learned from reviewing ECHA published decisions as far as the relative successes/pitfalls surrounding read-across under REACH and compile the relevant activities and guidance documents. Special emphasis is given to the available existing tools and approaches, an analysis of ECHA's published final decisions associated with all levels of compliance checks and testing proposals, the consideration and expression of uncertainty, the use of biological support data and the impact of the ECHA Read-Across Assessment Framework (RAAF) published in 2015.","published","2016","doc-type:article","doc-type:Text","http://nbn-resolving.de/urn:nbn:de:bsz:352-0-365922","ALTEX ; 33 (2016), 2. - S. 149-166. - ISSN 0946-7785. - eISSN 1868-8551","481671005","http://dx.doi.org/10.14573/altex.1601251","26863606","eng","https://kops.uni-konstanz.de/page/termsofuse","application/pdf","application/pdf","Booth, Ewan D.","Bouhifd, Mounir","Donley, Elizabeth","Egnash, Laura","Hastings, Charles","Juberg, Daland R.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hartung, Thomas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","oai:kops.uni-konstanz.de:123456789/34793","2018-05-04T07:08:34Z","com_123456789_1","col_123456789_28","doc-type:article","doc-type:Text","open_access","ddc:570","The ubiquitin-like modifier FAT10 in cancer development","Aichem, Annette","Groettrup, Marcus",NA,NA,"ddc:570","During the last years it has emerged that the ubiquitin-like modifier FAT10 is directly involved in cancer development. FAT10 expression is highly up-regulated by proinflammatory cytokines IFN-γ and TNF-α in all cell types and tissues and it was also found to be upregulated in many cancer types such as glioma, colorectal, liver or gastric cancer. While proinflammatory cytokines within the tumor microenvironment probably contribute to FAT10 overexpression, an increasing body of evidence argues that pro-malignant capacities of FAT10 itself largely underlie its broad and intense overexpression in tumor tissues. FAT10 thereby regulates pathways involved in cancer development such as the NF-κB- or Wnt-signaling. Moreover, FAT10 directly interacts with and influences downstream targets such as p53 or β-catenin, leading to enhanced survival, proliferation, invasion and metastasis formation of cancer cells but also of non-malignant cells. In this review we will provide an overview of the regulation of FAT10 expression as well as its function in carcinogenesis.","published","2016","doc-type:article","doc-type:Text","http://nbn-resolving.de/urn:nbn:de:bsz:352-0-347923","The International Journal of Biochemistry & Cell Biology ; 79 (2016). - S. 451-461. - ISSN 1357-2725. - eISSN 1878-5875","479592411","http://dx.doi.org/10.1016/j.biocel.2016.07.001","27393295","eng","https://kops.uni-konstanz.de/page/termsofuse","application/pdf","application/pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","oai:kops.uni-konstanz.de:123456789/40240","2018-05-14T14:46:27Z","com_123456789_10","col_123456789_41","ddc:530","doc-type:article","doc-type:Text","open_access","Tuning the motility and directionality of self-propelled colloids","Gomez Solano, Juan Ruben","Samin, Sela","Lozano, Celia","Ruedas-Batuecas, Pablo","ddc:530","Microorganisms are able to overcome the thermal randomness of their surroundings by harvesting energy to navigate in viscous fluid environments. In a similar manner, synthetic colloidal microswimmers are capable of mimicking complex biolocomotion by means of simple self-propulsion mechanisms. Although experimentally the speed of active particles can be controlled by e.g. self-generated chemical and thermal gradients, an in-situ change of swimming direction remains a challenge. In this work, we study self-propulsion of half-coated spherical colloids in critical binary mixtures and show that the coupling of local body forces, induced by laser illumination, and the wetting properties of the colloid, can be used to finely tune both the colloid’s swimming speed and its directionality. We experimentally and numerically demonstrate that the direction of motion can be reversibly switched by means of the size and shape of the droplet(s) nucleated around the colloid, depending on the particle radius and the fluid’s ambient temperature. Moreover, the aforementioned features enable the possibility to realize both negative and positive phototaxis in light intensity gradients. Our results can be extended to other types of half-coated microswimmers, provided that both of their hemispheres are selectively made active but with distinct physical properties.","published","2017","doc-type:article","doc-type:Text","http://nbn-resolving.de/urn:nbn:de:bsz:352-2-18utycbd1ncr55","Scientific Reports ; 7 (2017). - 14891. - eISSN 2045-2322","495133264","http://arxiv.org/abs/1709.06339","http://dx.doi.org/10.1038/s41598-017-14126-0","eng",NA,"application/pdf","application/pdf","van Roij, René","Bechinger, Clemens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","oai:kops.uni-konstanz.de:123456789/19620","2018-05-18T14:11:40Z","com_123456789_3","com_123456789_11","col_123456789_30","col_123456789_42","doc-type:article","doc-type:Text","Neglected faces of Europeanization : the differential impact of the EU on the dismantling and expansion of domestic Policies","Knill, Christoph","Tosun, Jale","Bauer, Michael W.",NA,"ddc:320","The objective of this article is to clarify the extent and the conditions under which the European Union (EU) induces changes in the policy arrangements of its member states. For an accurate measurement of our dependent variable, we distinguish between EU-induced policy expansion and EU-induced policy dismantling. We argue that the extent to which European requirements lead to an expansion or dismantling of national policy arrangements is crucially affected by the respective governance logic underlying the regulatory activities at the European level, that is: (1) compliance with EU rules; (2) competition between national administrative systems to achieve EU requirements; and (3) communication between regulatory agents across national levels arranged in an EU legal or institutional framework. To illustrate our theoretical argument, we develop hypotheses on the likelihood and direction of national policy change under these three modes of governance, in addition, providing empirical examples from different policy areas.",NA,"2009","doc-type:article","doc-type:Text",NA,"Public Administration ; 87 (2009), 3. - S. 519-537. - ISSN 0033-3298","370679121","http://dx.doi.org/10.1111/j.1467-9299.2009.01768.x","http://nbn-resolving.de/urn:nbn:de:bsz:352-196205","eng","https://kops.uni-konstanz.de/page/termsofuse","application/pdf","application/pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"open_access","ddc:320",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","oai:kops.uni-konstanz.de:123456789/7983","2018-05-17T12:07:34Z","com_123456789_1","col_123456789_28","doc-type:article","doc-type:Text","open_access","ddc:570","Genetic identification of units for conservation in tomato frogs, genus Dyscophus","Chiari, Ylenia","Orozco-terWengel, Pablo","Vences, Miguel","Vieites, David R.","conservation","Dyscophus antongilii and D. guineti are two morphologically very similar microhylid frogs from Madagascar of uncertain taxonomy. D. antongilii is currently included in Appendix I of the Convention on the International Trade in Endangered Species (CITES) and its exportation is banned completely. In  contrast, D. guineti does not receive any legal protection and it is regularly exported. Field data on ecology and behaviour are to a large extent lacking. Here we report on a genetic survey of D. antongilii and D. guineti using nuclear and mitochondrial DNA markers. Sequences of a fragment of 501 bp of the mitochondrial cytochrome b gene from one population of D. antongilii and two populations of D. guineti resulted in a single haplotype network, without haplotype sharing among the populations. However, haplotypes of D. guineti were only 1 4 mutational steps from those of D. antongilii, and did not form a clade. The analysis of eight microsatellites newly developed and standardized for D. antongilii revealed an excess of homozygotes and the absence of Hardy Weinberg equilibrium. The microsatellite data clearly distinguished between D. antongilii and D. guineti, and fixed differences were observed at one locus. Although confirmation of the status of Dyscophus antongilii and D. guineti as separate species requires further data, our study supports the definition of these two taxa as different evolutionary significant units under the adaptive<br />evolutionary conservation concept.",NA,"2006","doc-type:article","doc-type:Text",NA,"Conservation Genetics ; 7 (2006), 4. - S. 473-482. - ISSN 1566-0621. - eISSN 1572-9737","267715269","http://dx.doi.org/10.1007/s10592-005-9057-x","http://nbn-resolving.de/urn:nbn:de:bsz:352-opus-34091","eng","https://creativecommons.org/licenses/by-nc-nd/2.0/legalcode","application/pdf","application/pdf","Sarovy, Augustin","Randrianirina, Jasmin E.","Meyer, Axel","Louis, Edward Jr.",NA,NA,"cytochrome b","Dyscophus antongilii","Dyscophus guineti","microsatellites","ddc:570",NA,"application/pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","oai:kops.uni-konstanz.de:123456789/42213","2018-05-05T01:04:27Z","com_123456789_14","col_123456789_45","doc-type:article","ddc:400","doc-type:Text","open_access","Or what?","Biezma, María","Rawlins, Kyle",NA,NA,"questions; semantics; pragmatics; discourse","This paper develops an argument that discourse considerations are crucial in the semantics of questions by looking at the case of English “or what” questions. We argue that “what” in these questions is a discourse pronoun anaphoric with the ‘Question Under Discussion’, and show that this account explains the range of variation in how “or what” questions are interpreted in context, compared to other question types. This accounts for the fact that OWQs can be used as plain information seeking questions, as rhetorical questions, and also as questions that express insistence about receiving an immediate answer. Along the way we present empirical arguments that “or what” questions do not involve sluicing, though they can best be compared to the phenomenon of antecedent-less ‘pseudo-sluicing’.","published","2017","doc-type:article","doc-type:Text",NA,"Semantics and Pragmatics ; 10 (2017). - 16. - eISSN 1937-8912","502652748","http://dx.doi.org/10.3765/sp.10.16","http://nbn-resolving.de/urn:nbn:de:bsz:352-2-1bkzny7rsycav3","eng","https://kops.uni-konstanz.de/page/termsofuse","application/pdf","application/pdf",NA,NA,NA,NA,NA,NA,"ddc:400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","oai:kops.uni-konstanz.de:123456789/5244","2018-05-17T11:35:10Z","com_123456789_10","col_123456789_41","ddc:530","doc-type:article","doc-type:Text","open_access","Effect of intense chirped pulses on the coherent phonon generation in Te","Misochko, Oleg Victor","Dekorsy, Thomas","Andreev, Sergej V.","Kompanets, V. O.","ddc:530","The authors have studied the influence of chirped laser pulses on the coherent phonon generation in single crystal Te. They have shown that the pulse chirp affects the amplitude of coherent phonons with A1 symmetry in the case of intense excitation only. By varying the chirp of an intense exciting pulse, the authors demonstrated that negatively chirped pulses are almost twice more effective in the creation of lattice coherence than positively chirped pulses.",NA,"2007","doc-type:article","doc-type:Text",NA,"Applied Physics Letters ; 90 (2007). - 71901","275770370","http://dx.doi.org/10.1063/1.2476306","http://nbn-resolving.de/urn:nbn:de:bsz:352-opus-45031","eng","https://creativecommons.org/licenses/by-nc-nd/2.0/legalcode","application/pdf","application/pdf","Matveets, Yu. A.","Stepanov, A. G.","Chekalin, Sergey V.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"application/pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","oai:kops.uni-konstanz.de:123456789/42388","2018-05-18T01:15:22Z","com_123456789_14","col_123456789_45","doc-type:article","ddc:400","doc-type:Text","open_access","fMRI Evidence for the Involvement of the Procedural Memory System in Morphological Processing of a Second Language","Pliatsikas, Christos","Johnstone, Tom","Marinis, Theodoros",NA,"ddc:400","Behavioural evidence suggests that English regular past tense forms are automatically decomposed into their stem and affix (played  = play+ed) based on an implicit linguistic rule, which does not apply to the idiosyncratically formed irregular forms (kept). Additionally, regular, but not irregular inflections, are thought to be processed through the procedural memory system (left inferior frontal gyrus, basal ganglia, cerebellum). It has been suggested that this distinction does not to apply to second language (L2) learners of English; however, this has not been tested at the brain level. This fMRI study used a masked-priming task with regular and irregular prime-target pairs (played-play/kept-keep) to investigate morphological processing in native and highly proficient late L2 English speakers. No between-groups differences were revealed. Compared to irregular pairs, regular pairs activated the pars opercularis, bilateral caudate nucleus and the right cerebellum, which are part of the procedural memory network and have been connected with the processing of morphologically complex forms. Our study is the first to provide evidence for native-like involvement of the procedural memory system in processing of regular past tense by late L2 learners of English.","published","2014","doc-type:article","doc-type:Text","http://nbn-resolving.de/urn:nbn:de:bsz:352-2-1bs6f0yuhzgh20","PLoS one ; 9 (2014), 5. - e97298. - eISSN 1932-6203","50527048X","http://dx.doi.org/10.1371/journal.pone.0097298","24819196","eng","https://kops.uni-konstanz.de/page/termsofuse","application/pdf","application/pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
